id,codigo,sku,nombre,categoria,marca,precio,archivo,estado,fuente_url,busqueda
11,P0011,6187,Fibra Fregon Mr. Lujo Oro Y Plata Pieza - Fregon,Limpieza y Cuidado en el Hogar,Fregon,14.9,imagenes_reales\011_fibra_fregon_mr_lujo_oro_y_plata_pieza_fregon.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/169680/00726866011010.1.jpg?v=636862248638130000,"marca mexicana producto ""Fibra Fregon Mr. Lujo Oro Y Plata Pieza - Fregon"" producto supermercado México"
12,P0012,6319,Jerga Jacamsa Delgada 48X50 Pieza - Jacamsa,Limpieza y Cuidado en el Hogar,Jacamsa,175.4,imagenes_reales\012_jerga_jacamsa_delgada_48x50_pieza_jacamsa.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/170026/07501858421496.1.jpg?v=636862250460030000,"marca mexicana producto ""Jerga Jacamsa Delgada 48X50 Pieza - Jacamsa"" producto supermercado México"
13,P0013,6315,Jerga Jacamsa 48X100 Pieza - Jacamsa,Limpieza y Cuidado en el Hogar,Jacamsa,401.0,imagenes_reales\013_jerga_jacamsa_48x100_pieza_jacamsa.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/170012/07501858421472.1.jpg?v=636862250380230000,"marca mexicana producto ""Jerga Jacamsa 48X100 Pieza - Jacamsa"" producto supermercado México"
14,P0014,6301,Secador Jacamsa 57X75 Pieza - Jacamsa,Limpieza y Cuidado en el Hogar,Jacamsa,343.1,imagenes_reales\014_secador_jacamsa_57x75_pieza_jacamsa.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/169974/07501858421427.1.jpg?v=636862250190770000,"marca mexicana producto ""Secador Jacamsa 57X75 Pieza - Jacamsa"" producto supermercado México"
15,P0015,6299,Secador Jacamsa 57X60 Pieza - Jacamsa,Limpieza y Cuidado en el Hogar,Jacamsa,291.8,imagenes_reales\015_secador_jacamsa_57x60_pieza_jacamsa.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/169968/07501858421410.1.jpg?v=636862250162470000,"marca mexicana producto ""Secador Jacamsa 57X60 Pieza - Jacamsa"" producto supermercado México"
16,P0016,9096,Fibra Fix Metalica Cobre Maya Pza - Fix,Limpieza y Cuidado en el Hogar,Fix,27.0,imagenes_reales\016_fibra_fix_metalica_cobre_maya_pza_fix.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/177351/07501076700090.1.jpg?v=637062397840170000,"marca mexicana producto ""Fibra Fix Metalica Cobre Maya Pza - Fix"" producto supermercado México"
17,P0017,6167,Fibra Fix Con Acero 10 Cm Pieza - Fix,Limpieza y Cuidado en el Hogar,Fix,35.9,imagenes_reales\017_fibra_fix_con_acero_10_cm_pieza_fix.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/169576/07501076700069.1.jpg?v=636862248225400000,"marca mexicana producto ""Fibra Fix Con Acero 10 Cm Pieza - Fix"" producto supermercado México"
18,P0018,7423,Pasta Dental Colgate Mfp 50Ml - Colgate,Cuidado e Higiene Personal,Colgate,19.0,imagenes_reales\018_pasta_dental_colgate_mfp_50ml_colgate.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/172142/07501035911567.1.jpg?v=636862259360870000,"La Moderna Barilla ""Pasta Dental Colgate Mfp 50Ml - Colgate"" producto supermercado México"
19,P0019,6168,Fibra Tallafix Multiusos Pza - Fix,Limpieza y Cuidado en el Hogar,Fix,16.0,imagenes_reales\019_fibra_tallafix_multiusos_pza_fix.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/169584/07501076700243.1.jpg?v=636862248253470000,"marca mexicana producto ""Fibra Tallafix Multiusos Pza - Fix"" producto supermercado México"
20,P0020,9095,Fibra Scotch Brite Para Baño 92X146 - Scotch Brite,Limpieza y Cuidado en el Hogar,Scotch Brite,33.7,imagenes_reales\020_fibra_scotch_brite_para_bano_92x146_scotch_brite.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/177349/07501023100034.1.jpg?v=637062397830170000,"marca mexicana producto ""Fibra Scotch Brite Para Baño 92X146 - Scotch Brite"" producto supermercado México"
21,P0021,7418,Pasta Dental Colgate Total 100Ml - Colgate,Cuidado e Higiene Personal,Colgate,3275.0,imagenes_reales\021_pasta_dental_colgate_total_100ml_colgate.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/172106/07501035911369.1.jpg?v=636862259243370000,"La Moderna Barilla ""Pasta Dental Colgate Total 100Ml - Colgate"" producto supermercado México"
22,P0022,7360,Enjuague Listerine Cool Mint 500Ml - Listerine,Cuidado e Higiene Personal,Listerine,1250.6,imagenes_reales\022_enjuague_listerine_cool_mint_500ml_listerine.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/171857/00312547321815.1.jpg?v=636862258256870000,"Listerine ""Enjuague Listerine Cool Mint 500Ml - Listerine"" producto supermercado México"
23,P0023,7414,Pasta Dental Colgate Máxima Protección Anticaries 125Ml - Colgate,Cuidado e Higiene Personal,Colgate,3275.9,imagenes_reales\023_pasta_dental_colgate_maxima_proteccion_anticaries_125ml_colgate.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/172075/07501035911024.1.jpg?v=636862259114800000,"La Moderna Barilla ""Pasta Dental Colgate Máxima Protección Anticaries 125Ml - Colgate"" producto supermercado México"
24,P0024,7412,Pasta Dental Colgate Mfp 150grs - Colgate,Cuidado e Higiene Personal,Colgate,3102.2,imagenes_reales\024_pasta_dental_colgate_mfp_150grs_colgate.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/172057/07501035911017.1.jpg?v=636862259046900000,"La Moderna Barilla ""Pasta Dental Colgate Mfp 150grs - Colgate"" producto supermercado México"
25,P0025,9094,Fibra Fix Esponja 8X12Cm Pza - Fix,Limpieza y Cuidado en el Hogar,Fix,31.6,imagenes_reales\025_fibra_fix_esponja_8x12cm_pza_fix.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/177347/07501076700052.1.jpg?v=637062397816730000,"marca mexicana producto ""Fibra Fix Esponja 8X12Cm Pza - Fix"" producto supermercado México"
26,P0026,9093,Fibra Fix Verde 9 X15Cm 2Pzas - Fix,Limpieza y Cuidado en el Hogar,Fix,16.2,imagenes_reales\026_fibra_fix_verde_9_x15cm_2pzas_fix.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/177345/07501076700014.1.jpg?v=637062397798900000,"marca mexicana producto ""Fibra Fix Verde 9 X15Cm 2Pzas - Fix"" producto supermercado México"
27,P0027,9092,Fibra Fix Extra Gruesa 8X14Cm Pza Negra - Fix,Limpieza y Cuidado en el Hogar,Fix,33.8,imagenes_reales\027_fibra_fix_extra_gruesa_8x14cm_pza_negra_fix.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/177343/07501076700106.1.jpg?v=637062397788870000,"marca mexicana producto ""Fibra Fix Extra Gruesa 8X14Cm Pza Negra - Fix"" producto supermercado México"
28,P0028,6145,Fibra Scotch Brite Esponja 80X120 - Scotch Brite,Limpieza y Cuidado en el Hogar,Scotch Brite,735.4,imagenes_reales\028_fibra_scotch_brite_esponja_80x120_scotch_brite.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/169472/07501023100072.1.jpg?v=636862247826100000,"marca mexicana producto ""Fibra Scotch Brite Esponja 80X120 - Scotch Brite"" producto supermercado México"
29,P0029,6139,Fibra Scotch Brite Para Parrilla 92X146 - Scotch Brite,Limpieza y Cuidado en el Hogar,Scotch Brite,425.6,imagenes_reales\029_fibra_scotch_brite_para_parrilla_92x146_scotch_brite.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/169440/07501023100010.1.jpg?v=636862247729400000,"marca mexicana producto ""Fibra Scotch Brite Para Parrilla 92X146 - Scotch Brite"" producto supermercado México"
30,P0030,10223,Limpiador Cesco Multiusos 1 Lt - Cesco,Limpieza y Cuidado en el Hogar,CESCO,98.3,imagenes_reales\030_limpiador_cesco_multiusos_1_lt_cesco.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/186054/07502238060809.1.jpg?v=637127215848870000,"Fabuloso Pinol Windex ""Limpiador Cesco Multiusos 1 Lt - Cesco"" producto supermercado México"
31,P0031,9762,Pañal Bbtips Talla 7 con 40 pzas Unisex,Limpieza y Cuidado en el Hogar,CHICOLASTIC,274.1,imagenes_reales\031_panal_bbtips_talla_7_con_40_pzas_unisex.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/189464/13117022858_104730_1.jpg?v=637701797634870000,"marca mexicana producto ""Pañal Bbtips Talla 7 con 40 pzas Unisex"" producto supermercado México"
32,P0032,7184,Jabon Murano Con Pepino 150grs - Murano,Cuidado e Higiene Personal,Murano,12.6,imagenes_reales\032_jabon_murano_con_pepino_150grs_murano.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/171052/07501026011412.1.jpg?v=636862255117030000,"marca mexicana producto ""Jabon Murano Con Pepino 150grs - Murano"" producto supermercado México"
33,P0033,6486,Servilleta Kleenex Class 200S - Kleenex,Limpieza y Cuidado en el Hogar,Kleenex,2161.6,imagenes_reales\033_servilleta_kleenex_class_200s_kleenex.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/170673/07501017361144.1.jpg?v=636862253677770000,"marca mexicana producto ""Servilleta Kleenex Class 200S - Kleenex"" producto supermercado México"
34,P0034,5630,Trampa Dr. K Para Ratones Charola Con Pegamento Charo/Pegamento - Dr.K,Limpieza y Cuidado en el Hogar,Dr.K,471.3,imagenes_reales\034_trampa_dr_k_para_ratones_charola_con_pegamento_charo_pegamento_dr_k.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/169721/07501063300067.1.jpg?v=636862248837000000,"marca mexicana producto ""Trampa Dr. K Para Ratones Charola Con Pegamento Charo/Pegamento - Dr.K"" producto supermercado México"
35,P0035,5628,Caza Facil Trampa Para Rata De Pegamento - Caza Facil,Limpieza y Cuidado en el Hogar,Caza Facil,640.3,imagenes_reales\035_caza_facil_trampa_para_rata_de_pegamento_caza_facil.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/169715/07501063300036.1.jpg?v=636862248807230000,"marca mexicana producto ""Caza Facil Trampa Para Rata De Pegamento - Caza Facil"" producto supermercado México"
36,P0036,5626,Caza Facil Trampa Para Ratones Pegamento - Caza Facil,Limpieza y Cuidado en el Hogar,Caza Facil,701.6,imagenes_reales\036_caza_facil_trampa_para_ratones_pegamento_caza_facil.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/169708/07501063300029.1.jpg?v=636862248777630000,"marca mexicana producto ""Caza Facil Trampa Para Ratones Pegamento - Caza Facil"" producto supermercado México"
37,P0037,6605,Blanqueador Clorhada Concentrada 3.8Lt - Clorhada,Limpieza y Cuidado en el Hogar,Clorhada,212.7,imagenes_reales\037_blanqueador_clorhada_concentrada_3_8lt_clorhada.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/170729/07501681100766.1.jpg?v=636862253904970000,"marca mexicana producto ""Blanqueador Clorhada Concentrada 3.8Lt - Clorhada"" producto supermercado México"
38,P0038,6464,Servilleta Hortencia Supreme 400 Hojas - Hortencia,Limpieza y Cuidado en el Hogar,Hortencia,482.1,imagenes_reales\038_servilleta_hortencia_supreme_400_hojas_hortencia.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/170644/07501050420174.1.jpg?v=636862253541500000,"marca mexicana producto ""Servilleta Hortencia Supreme 400 Hojas - Hortencia"" producto supermercado México"
39,P0039,9761,Diapro Ropa Interior Pants Grande - Diapro,Limpieza y Cuidado en el Hogar,Diapro,137.1,imagenes_reales\039_diapro_ropa_interior_pants_grande_diapro.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/185904/07501943466562_A1R1.jpg?v=637127198740930000,"Bimbo Tía Rosa Milpa Real Mission ""Diapro Ropa Interior Pants Grande - Diapro"" producto supermercado México"
40,P0040,6630,Pastilla Bella Azul 2 Pz,Limpieza y Cuidado en el Hogar,Bella azul,605.5,imagenes_reales\040_pastilla_bella_azul_2_pz.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/175586/07501021140629.1.jpg?v=637010474938470000,"marca mexicana producto ""Pastilla Bella Azul 2 Pz"" producto supermercado México"
41,P0041,5590,Insecticida H-24 Tablets Mats 1 Aparato Y 12 Tabletas - H24,Limpieza y Cuidado en el Hogar,H24,37.9,imagenes_reales\041_insecticida_h_24_tablets_mats_1_aparato_y_12_tabletas_h24.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/169528/07501021115597.1.jpg?v=636862248052770000,"Raid Baygon ""Insecticida H-24 Tablets Mats 1 Aparato Y 12 Tabletas - H24"" producto supermercado México"
42,P0042,5574,Insecticida H-24 Tabletas Mats Repuesto 24 Noches - H24,Limpieza y Cuidado en el Hogar,H24,914.7,imagenes_reales\042_insecticida_h_24_tabletas_mats_repuesto_24_noches_h24.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/169425/07501021110097.1.jpg?v=636862247681670000,"Raid Baygon ""Insecticida H-24 Tabletas Mats Repuesto 24 Noches - H24"" producto supermercado México"
43,P0043,5710,Detergente Salvo Liquido Limon 900Ml - Salvo,Limpieza y Cuidado en el Hogar,Salvo,58.8,imagenes_reales\043_detergente_salvo_liquido_limon_900ml_salvo.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/169962/07506339343595.1.jpg?v=636862250133830000,"La Fina ""Detergente Salvo Liquido Limon 900Ml - Salvo"" producto supermercado México"
44,P0044,7204,Jabon Nordiko Original 130grs - Nordiko,Cuidado e Higiene Personal,Nordiko,1660.5,imagenes_reales\044_jabon_nordiko_original_130grs_nordiko.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/171173/07509546032399.1.jpg?v=636862255568300000,"marca mexicana producto ""Jabon Nordiko Original 130grs - Nordiko"" producto supermercado México"
45,P0045,5699,Detergente Salvo Liquido Limon 300Ml - Salvo,Limpieza y Cuidado en el Hogar,Salvo,19.6,imagenes_reales\045_detergente_salvo_liquido_limon_300ml_salvo.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/169908/07506195196984.1.jpg?v=636862249837630000,"La Fina ""Detergente Salvo Liquido Limon 300Ml - Salvo"" producto supermercado México"
46,P0046,7054,Toalla Saba Panty Reg C/Sabila 16 - Saba,Cuidado e Higiene Personal,Saba,315.8,imagenes_reales\046_toalla_saba_panty_reg_c_sabila_16_saba.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/173046/07501019068416.1.jpg?v=636862262721900000,"Bimbo Tía Rosa Milpa Real Mission ""Toalla Saba Panty Reg C/Sabila 16 - Saba"" producto supermercado México"
47,P0047,6357,Papel Higiénico Perla 500 H 4 R - Perla,Limpieza y Cuidado en el Hogar,Perla,371.4,imagenes_reales\047_papel_higienico_perla_500_h_4_r_perla.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/170160/07501136736199.1.jpg?v=636862251133930000,"Regio Pétalo Kleenex ""Papel Higiénico Perla 500 H 4 R - Perla"" producto supermercado México"
48,P0048,6361,Papel Higienico Adorable 400 Hojas 4 Rollos - Adorable,Limpieza y Cuidado en el Hogar,Adorable,467.7,imagenes_reales\048_papel_higienico_adorable_400_hojas_4_rollos_adorable.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/170187/07501050410700.1.jpg?v=636862251259430000,"marca mexicana producto ""Papel Higienico Adorable 400 Hojas 4 Rollos - Adorable"" producto supermercado México"
49,P0049,9757,Pañal Kleen Bebe Absorsec Chico 40S - Kleen Bebe,Limpieza y Cuidado en el Hogar,Kleen Bebe,134.8,imagenes_reales\049_panal_kleen_bebe_absorsec_chico_40s_kleen_bebe.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/178535/07501943433359.1.jpg?v=637062412184600000,"marca mexicana producto ""Pañal Kleen Bebe Absorsec Chico 40S - Kleen Bebe"" producto supermercado México"
50,P0050,6916,Aluminio Super Ideal Extra Grueso 500Gr,Limpieza y Cuidado en el Hogar,Super ideal,2189.8,imagenes_reales\050_aluminio_super_ideal_extra_grueso_500gr.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/175604/07503006954207.1.jpg?v=637010475187930000,"marca mexicana producto ""Aluminio Super Ideal Extra Grueso 500Gr"" producto supermercado México"
51,P0051,7072,Toalla Always Pinkcess Nocturna C/A 8 Piezas - Always,Cuidado e Higiene Personal,Always,28.5,imagenes_reales\051_toalla_always_pinkcess_nocturna_c_a_8_piezas_always.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/173177/07506195178188.1.jpg?v=636862263197400000,"marca mexicana producto ""Toalla Always Pinkcess Nocturna C/A 8 Piezas - Always"" producto supermercado México"
52,P0052,7232,Jabon Heno De Pravia Original 115grs - Heno De Pravia,Cuidado e Higiene Personal,Heno De Pravia,872.0,imagenes_reales\052_jabon_heno_de_pravia_original_115grs_heno_de_pravia.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/171294/07501057595097.1.jpg?v=636862256028300000,"marca mexicana producto ""Jabon Heno De Pravia Original 115grs - Heno De Pravia"" producto supermercado México"
53,P0053,7076,Toalla Always Active Ultra Con Alas 10 Piezas - Always,Cuidado e Higiene Personal,Always,1083.6,imagenes_reales\053_toalla_always_active_ultra_con_alas_10_piezas_always.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/173194/07506195179512.1.jpg?v=636862263260900000,"marca mexicana producto ""Toalla Always Active Ultra Con Alas 10 Piezas - Always"" producto supermercado México"
54,P0054,7070,Toalla Always Pinkcess C/A 10 Piezas - Always,Cuidado e Higiene Personal,Always,25.0,imagenes_reales\054_toalla_always_pinkcess_c_a_10_piezas_always.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/173153/07506195178133.1.jpg?v=636862263113530000,"marca mexicana producto ""Toalla Always Pinkcess C/A 10 Piezas - Always"" producto supermercado México"
55,P0055,7003,Toalla Kotex Manzanilla Noc C/A 10 Pieza - Kotex,Cuidado e Higiene Personal,Kotex,163.6,imagenes_reales\055_toalla_kotex_manzanilla_noc_c_a_10_pieza_kotex.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/172660/07501943421141.1.jpg?v=636862261249300000,"marca mexicana producto ""Toalla Kotex Manzanilla Noc C/A 10 Pieza - Kotex"" producto supermercado México"
56,P0056,6555,Blanqueador Cloralex Max Gel 600Ml - Cloralex,Limpieza y Cuidado en el Hogar,Cloralex,303.4,imagenes_reales\056_blanqueador_cloralex_max_gel_600ml_cloralex.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/171143/07501025405090.1.jpg?v=636862255461730000,"marca mexicana producto ""Blanqueador Cloralex Max Gel 600Ml - Cloralex"" producto supermercado México"
57,P0057,6414,Papel Higienico Vogue 455 Hojas 1 Rollo - Vogue,Limpieza y Cuidado en el Hogar,Vogue,599.1,imagenes_reales\057_papel_higienico_vogue_455_hojas_1_rollo_vogue.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/170399/07501017375622.1.jpg?v=636862252298600000,"marca mexicana producto ""Papel Higienico Vogue 455 Hojas 1 Rollo - Vogue"" producto supermercado México"
58,P0058,5680,Detergente Axion Líquido Limón 750Ml - Axion,Limpieza y Cuidado en el Hogar,Axion,38.8,imagenes_reales\058_detergente_axion_liquido_limon_750ml_axion.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/189785/7509546051932.jpg?v=637919405794630000,"Ariel Ace Persil ""Detergente Axion Líquido Limón 750Ml - Axion"" producto supermercado México"
59,P0059,9756,Pañal Bbtips Talla 6 con 40 pzas Unisex,Limpieza y Cuidado en el Hogar,CHICOLASTIC,260.9,imagenes_reales\059_panal_bbtips_talla_6_con_40_pzas_unisex.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/189462/13117019971_104534_1.jpg?v=637701755779200000,"marca mexicana producto ""Pañal Bbtips Talla 6 con 40 pzas Unisex"" producto supermercado México"
60,P0060,6559,Blanqueador Cloralex Mascotas 950Ml - Cloralex,Limpieza y Cuidado en el Hogar,Cloralex,463.8,imagenes_reales\060_blanqueador_cloralex_mascotas_950ml_cloralex.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/171160/07501025411992.1.jpg?v=636862255521370000,"marca mexicana producto ""Blanqueador Cloralex Mascotas 950Ml - Cloralex"" producto supermercado México"
61,P0061,6561,Blanqueador Cloraluz Regular 900Ml - Cloraluz,Limpieza y Cuidado en el Hogar,Cloraluz,127.8,imagenes_reales\061_blanqueador_cloraluz_regular_900ml_cloraluz.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/171174/07501025401252.1.jpg?v=636862255569400000,"marca mexicana producto ""Blanqueador Cloraluz Regular 900Ml - Cloraluz"" producto supermercado México"
62,P0062,6758,Limpiador Total Maderol 1 Litro,Limpieza y Cuidado en el Hogar,Total,46.3,imagenes_reales\062_limpiador_total_maderol_1_litro.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/174437/07501021164564.1.jpg?v=637009047973830000,"Fabuloso Pinol Windex ""Limpiador Total Maderol 1 Litro"" producto supermercado México"
63,P0063,6837,Limpiador Total Desengrasante Repuesto 700Ml,Limpieza y Cuidado en el Hogar,Total,275.0,imagenes_reales\063_limpiador_total_desengrasante_repuesto_700ml.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/175599/07501021162027.1.jpg?v=637010475141730000,"Fabuloso Pinol Windex ""Limpiador Total Desengrasante Repuesto 700Ml"" producto supermercado México"
64,P0064,5584,Insecticida H-24 Poder Fulminante Aerosol 429Ml - H24,Limpieza y Cuidado en el Hogar,H24,923.0,imagenes_reales\064_insecticida_h_24_poder_fulminante_aerosol_429ml_h24.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/169497/07501021110325.1.jpg?v=636862247920600000,"Raid Baygon ""Insecticida H-24 Poder Fulminante Aerosol 429Ml - H24"" producto supermercado México"
65,P0065,5620,Veneno H-24 Rodenticida En Pellets 120grs - H24,Limpieza y Cuidado en el Hogar,H24,36.2,imagenes_reales\065_veneno_h_24_rodenticida_en_pellets_120grs_h24.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/169700/07501021115054.1.jpg?v=636862248731970000,"marca mexicana producto ""Veneno H-24 Rodenticida En Pellets 120grs - H24"" producto supermercado México"
66,P0066,6866,Lustrador 3 En 1 Rojo 480Ml - 3 En 1,Limpieza y Cuidado en el Hogar,3 En 1,1177.8,imagenes_reales\066_lustrador_3_en_1_rojo_480ml_3_en_1.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/172011/07501058753106.1.jpg?v=636862258886900000,"marca mexicana producto ""Lustrador 3 En 1 Rojo 480Ml - 3 En 1"" producto supermercado México"
67,P0067,6677,Limpiador Pinol 9Lt - Pinol,Limpieza y Cuidado en el Hogar,Pinol,254.6,imagenes_reales\067_limpiador_pinol_9lt_pinol.jpg,descargado,https://surtitienda.vteximg.com.br/arquivos/ids/171120/07501025403409.1.jpg?v=636862255385500000,"Fabuloso Pinol Windex ""Limpiador Pinol 9Lt - Pinol"" producto supermercado México"
